,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,19,37,-0.32142856568877565,0.06133625404015745,12.484848484848484,0.4854368932038835,5.188114151220947,12.484848484848484,400,821,2.7884615384615383,3,7.406820950060902
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,7,3,0.39999996000000404,0.04329004310264051,16.692307692307693,0.48847926267281105,6.872314781992202,16.692307692307693,106,216,2.784688995215311,3,7.185185185185185
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,31,46,-0.19480519227525725,0.09961190155289534,11.523809523809524,0.4490358126721763,4.7891381345926805,11.523809523809524,326,723,2.501416430594901,12,6.7786998616874135
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,11,24,-0.37142856081632686,0.0632911391260558,12.868421052631579,0.4703476482617587,5.335507480357336,12.868421052631579,230,484,2.68640350877193,5,7.037190082644628
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,31,54,-0.2705882321107267,0.10718789393797239,13.642857142857142,0.49345549738219896,5.6545250560957365,13.642857142857142,377,764,2.6870838881491346,3,7.218586387434555
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,24,34,-0.17241379013079672,0.08814589652257462,14.477272727272727,0.46938775510204084,5.978664192949907,14.477272727272727,299,636,2.5555555555555554,6,6.855345911949685
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,4,0,0.9999997500000625,0.016194331918241572,23.666666666666668,0.539906103286385,9.68262910798122,23.666666666666668,115,213,2.7535545023696684,1,7.483568075117371
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,16,2,0.7777777345679036,0.04044943811134958,12.441176470588236,0.42080378250591016,5.144792101237659,12.441176470588236,178,420,2.5349397590361447,3,6.814285714285714
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,32,52,-0.238095235260771,0.12352941158304498,16.783783783783782,0.5024154589371981,6.914479697088392,16.783783783783782,312,621,2.690909090909091,3,7.322061191626409
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,32,24,0.1428571403061225,0.12362030877788012,13.085714285714285,0.3471615720524017,5.373150343106675,13.085714285714285,159,456,2.3730684326710816,35,6.440789473684211
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,8,36,-0.6363636219008268,0.05662805655517625,13.185185185185185,0.48735955056179775,5.469017894298794,13.185185185185185,347,712,2.651537335285505,1,7.217696629213483
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,16,29,-0.28888888246913597,0.06311360439956017,12.089285714285714,0.5096011816838996,5.039554758387846,12.089285714285714,345,675,2.6879643387815753,1,7.33037037037037
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,28,51,-0.29113923682102233,0.09974747462153097,12.945454545454545,0.49859550561797755,5.37762002042901,12.945454545454545,355,711,2.662857142857143,2,7.263009845288327
14,51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,19,21,-0.04999999875000003,0.06944444432388118,14.58974358974359,0.4797891036906854,6.02781307737371,14.58974358974359,273,568,2.573451327433628,7,7.044014084507042
